127.0.0.1, 2018-10-08 22:40:07, GET, /start/static/css/custom.css, HTTP/1.1, 200, 0.001676
127.0.0.1, 2018-10-08 22:40:07, GET, /start/static/css/calendar.css, HTTP/1.1, 200, 0.000743
127.0.0.1, 2018-10-08 22:40:07, GET, /start/static/css/myapp.css, HTTP/1.1, 200, 0.001376
127.0.0.1, 2018-10-08 22:40:07, GET, /start/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 200, 0.003775
127.0.0.1, 2018-10-08 22:40:07, GET, /start/static/js/jquery.js, HTTP/1.1, 200, 0.002185
127.0.0.1, 2018-10-08 22:40:07, GET, /start/static/css/web2py.css, HTTP/1.1, 200, 0.004311
127.0.0.1, 2018-10-08 22:40:07, GET, /start/static/js/calendar.js, HTTP/1.1, 200, 0.001857
127.0.0.1, 2018-10-08 22:40:07, GET, /start/static/js/web2py.js, HTTP/1.1, 200, 0.004687
127.0.0.1, 2018-10-08 22:40:07, GET, /start/static/js/marked.min.js, HTTP/1.1, 200, 0.002779
127.0.0.1, 2018-10-08 22:40:07, GET, /start/static/js/vue.min.js, HTTP/1.1, 200, 0.001813
127.0.0.1, 2018-10-08 22:40:07, GET, /start/static/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2, HTTP/1.1, 200, 0.000356
127.0.0.1, 2018-10-08 22:40:07, GET, /favicon.ico, HTTP/1.1, 400, 0.000252
127.0.0.1, 2018-10-08 22:40:08, GET, /start/, HTTP/1.1, 200, 0.025533
127.0.0.1, 2018-10-08 22:40:18, GET, /start/, HTTP/1.1, 200, 0.029564
127.0.0.1, 2018-10-08 22:40:20, GET, /admin/default/index, HTTP/1.1, 200, 0.177368
127.0.0.1, 2018-10-08 22:40:21, GET, /admin/default/index, HTTP/1.1, 200, 0.013883
127.0.0.1, 2018-10-08 22:40:21, GET, /admin/static/_2.17.1/css/calendar.css, HTTP/1.1, 200, 0.002657
127.0.0.1, 2018-10-08 22:40:21, GET, /admin/static/_2.17.1/js/calendar.js, HTTP/1.1, 200, 0.002889
127.0.0.1, 2018-10-08 22:40:21, GET, /admin/static/_2.17.1/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.002326
127.0.0.1, 2018-10-08 22:40:21, GET, /admin/static/_2.17.1/js/web2py.js, HTTP/1.1, 200, 0.005078
127.0.0.1, 2018-10-08 22:40:21, GET, /admin/static/_2.17.1/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.003100
127.0.0.1, 2018-10-08 22:40:21, GET, /admin/static/_2.17.1/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.002185
